degree,clustering_coef,degree_centrality,betweenness_centrality,closeness_centrality
1863,0.013900059557681874,0.1863186318631863,0.010783863954588751,0.5512735693020179
804,0.036913812010929165,0.08040804080408041,0.002155716473789019,0.519078025229715
1709,0.01465515941913797,0.1709170917091709,0.0076316735472368,0.5462441955749795
55,0.11178451178451178,0.005500550055005501,1.3549642742030367e-05,0.44087301587301586
52,0.02564102564102564,0.005200520052005201,8.948418620092448e-06,0.39436008676789586
595,0.026975638740344622,0.05950595059505951,0.0013796384170164568,0.5119815668202765
604,0.015787508374243572,0.06040604060406041,0.0011113958683257972,0.5047450782433115
629,0.013523639788158334,0.0629062906290629,0.0009144234553998012,0.5041343148129475
124,0.00917912404930501,0.012401240124012402,5.305218039462903e-05,0.4153788634097707
251,0.010900398406374502,0.025102510251025105,0.0001939498376127834,0.453716308194936
1502,0.01222886473376382,0.15021502150215021,0.006050463624734714,0.5400486092357548
2421,0.010316753202863375,0.24212421242124213,0.01664479168030047,0.568868407578085
1146,0.013629331565269744,0.11461146114611462,0.0034938233189400437,0.5289636565624504
412,0.017279663619398578,0.041204120412041204,0.0004402486661796657,0.48976293103448276
410,0.0323692527878824,0.041004100410041,0.0003921572395060316,0.49504901475393603
1459,0.025763178455281113,0.14591459145914593,0.003885810199903952,0.5378698224852071
260,0.012563112563112563,0.026002600260026005,0.00030892495840858917,0.46656712239279546
69,0.09676044330775789,0.006900690069006901,8.175559324532732e-06,0.4534488231826221
175,0.01832512315270936,0.017501750175017504,0.00011303046975738465,0.4608683628318584
1654,0.011735651934740325,0.16541654165416542,0.009097205107882285,0.5446375074895147
89,0.04136874361593463,0.0089008900890089,2.6936033323200564e-05,0.4357432344097268
176,0.06188311688311688,0.0176017601760176,0.0001362429019495502,0.47460603759255743
73,0.08143074581430745,0.007300730073007301,1.7301240585916368e-05,0.4521979015918958
273,0.042609351432880846,0.027302730273027303,0.0002640755344081778,0.4937533948940793
1162,0.020440566251717834,0.11621162116211621,0.0026657869521405334,0.5283487450462352
84,0.04130808950086059,0.0084008400840084,1.8998637170769228e-05,0.4329508551634553
1133,0.013468417753298881,0.11331133113311331,0.0021083999034410424,0.5259863229879012
53,0.013062409288824383,0.005300530053005301,1.5885537103938847e-05,0.3855556412431557
67,0.06331976481230213,0.006700670067006701,1.1890363158442294e-05,0.428957528957529
1015,0.012139407895376065,0.10151015101510151,0.001966258427545976,0.5210526315789473
114,0.0575997515913678,0.011401140114011402,3.488618003975118e-05,0.45858558062740784
292,0.02523184107706068,0.029202920292029203,0.0003934626031545014,0.4878512880562061
139,0.011156292357418413,0.013901390139013902,7.499488169593795e-05,0.4151201893137377
1602,0.013519172240196319,0.16021602160216022,0.006122582428936857,0.5426865671641791
394,0.04294700404283076,0.039403940394039404,0.0006671527788606212,0.5038294870502872
70,0.07536231884057971,0.0070007000700070005,2.4197636362805596e-05,0.460147261849977
51,0.07294117647058823,0.0051005100510051,1.6603457154939257e-05,0.4427274739871596
103,0.03788311441081287,0.010301030103010301,4.632178974682457e-05,0.4383219358232509
57,0.012531328320802004,0.005700570057005701,1.638771611122293e-05,0.38616614529023285
401,0.010174563591022444,0.040104010401040106,0.000294887127757036,0.47054117647058824
1237,0.011598946192505618,0.12371237123712371,0.003125801224536646,0.5307606560857795
481,0.021872834372834372,0.04810481048104811,0.0005622636010390655,0.5000250037505626
672,0.010006387055567384,0.0672067206720672,0.0007347422460241308,0.49915135782747605
64,0.010912698412698412,0.006400640064006401,1.1595710989795736e-05,0.3852288488210818
53,0.033381712626995644,0.005300530053005301,1.4120352217951401e-05,0.4325201141967298
95,0.030011198208286675,0.009500950095009501,3.3393954786695755e-05,0.4338149160484186
366,0.016917433939666143,0.03660366036603661,0.00046018764935584837,0.4897389430376647
71,0.022132796780684104,0.007100710071007101,1.2677654955365512e-05,0.39531114098205106
58,0.018148820326678767,0.005800580058005801,1.0609325089361678e-05,0.3849026099006852
404,0.022737881728619513,0.04040404040404041,0.00047862719553426605,0.4928286263492533
519,0.016217704078975756,0.05190519051905191,0.0006047295658920612,0.49593294316040076
263,0.0169216033436856,0.026302630263026303,0.00014243479922122833,0.46937051119560624
701,0.0338699816588547,0.07010701070107012,0.0013851001312536317,0.5142195937258935
216,0.0367786391042205,0.021602160216021602,0.00017857682729692615,0.47878758858456233
111,0.07534807534807535,0.011101110111011102,3.219357930345656e-05,0.4556390977443609
1120,0.015109153581003447,0.11201120112011201,0.003934343338470817,0.5288237782949017
776,0.011725972730295976,0.07760776077607762,0.001854284047088808,0.5051275574640061
569,0.013935988514567193,0.05690569056905691,0.0006099162127111376,0.5003502802241794
649,0.031934219787327134,0.06490649064906491,0.0009603665413390739,0.5099709287499362
619,0.011235367619764626,0.061906190619061906,0.0007881310356687757,0.49937571792438695
48,0.05939716312056738,0.004800480048004801,1.0847342012183544e-05,0.450101282916948
212,0.05696145935795404,0.021202120212021204,0.00015898213287952146,0.4909894426712497
2192,0.020518950084586485,0.21922192219221923,0.0136999650373256,0.5614576899320568
567,0.026641987772729823,0.05670567056705671,0.0008904442014049108,0.5077696526508226
465,0.027410085279940676,0.0465046504650465,0.0006554916927593095,0.4911341421484356
803,0.02682894258749142,0.08030803080308031,0.0015743693800370003,0.5170648464163823
88,0.09273772204806688,0.0088008800880088,3.1896365917729305e-05,0.4649183986609011
498,0.00785435504593828,0.04980498049804981,0.0008148626936921663,0.47771248387559123
1280,0.017145770297413123,0.128012801280128,0.0030990975369922526,0.5321164387206642
563,0.039322895267472804,0.056305630563056305,0.0012517550164225385,0.5117195496417605
949,0.02343795156349344,0.09490949094909491,0.0018196848498253273,0.5213242961418144
348,0.05301599920500845,0.03480348034803481,0.0003508256362398828,0.4985043374214777
294,0.02779132130667967,0.029402940294029404,0.0002114275543343577,0.4807211538461538
299,0.0371708828084667,0.029902990299029902,0.0004200255589403974,0.494608231104076
185,0.02256169212690952,0.0185018501850185,9.441722014543259e-05,0.44382795508011896
47,0.06753006475485661,0.0047004700470047005,7.616627405538671e-06,0.42085104591944106
61,0.036065573770491806,0.006100610061006101,1.1522756939053064e-05,0.4207979126336167
112,0.039414414414414414,0.0112011201120112,3.78744232964949e-05,0.4454691259021652
570,0.014146085776832238,0.05700570057005701,0.0009041040529480145,0.5007261254945164
1888,0.0186905499717065,0.18881888188818882,0.01084584639664207,0.5520954116282922
933,0.017169681998629185,0.0933093309330933,0.0015710756912784203,0.5196985446985447
875,0.014810068649885584,0.08750875087508751,0.0018603968927012908,0.5192667220606564
1446,0.013031055722264498,0.14461446144614462,0.0055984689126756144,0.5385071090047393
157,0.018291687081496,0.0157015701570157,0.00013440077648468784,0.43580020920502094
116,0.025637181409295353,0.011601160116011602,3.1771437337324386e-05,0.4261785014065297
168,0.04006273167949815,0.0168016801680168,0.00014323954323420607,0.47357203751065646
78,0.07725607725607726,0.007800780078007801,3.458191793946673e-05,0.4521365588966765
528,0.008330458283019954,0.052805280528052806,0.000670461188697562,0.48789889723821606
591,0.05349737589262669,0.05910591059105911,0.0010462776010975673,0.5106741573033707
394,0.027989821882951654,0.039403940394039404,0.0002313959150524827,0.494608231104076
240,0.02004881450488145,0.024002400240024004,0.0002567214425619405,0.46733034212002245
76,0.05403508771929825,0.007600760076007601,2.5535973981278986e-05,0.44997974888618875
58,0.043557168784029036,0.005800580058005801,1.7531923879603048e-05,0.4208687599966327
80,0.014556962025316455,0.008000800080008,2.448882284131142e-05,0.39305790321946615
233,0.022125203492674262,0.0233023302330233,0.00016574278402035902,0.4676800748362956
41,0.02195121951219512,0.004100410041004101,4.2082527341988315e-06,0.37157190635451504
1776,0.011036036036036036,0.17761776177617764,0.006820414121164948,0.547800361584397
300,0.020312151616499442,0.030003000300030003,0.0003703205015198672,0.47844394468634865
283,0.03415783274440518,0.028302830283028303,0.00021712824552585277,0.4819027423008338
44,0.022198731501057084,0.0044004400440044,5.525591344828907e-06,0.39081493062341216
312,0.019189545716876907,0.031203120312031204,0.0002698779146058661,0.48449462157185774
67,0.12663952962460426,0.006700670067006701,1.6079066593663533e-05,0.46939254530091074
1946,0.028255910740041808,0.19461946194619462,0.011832862785423729,0.5537464695132082
1148,0.015818072353429816,0.11481148114811482,0.003351731272327652,0.5289356749894202
95,0.05823068309070549,0.009500950095009501,3.356382470556253e-05,0.4651346699539471
561,0.014629488158899924,0.056105610561056105,0.0009647632945905121,0.5016807987557071
165,0.0385070214338507,0.016501650165016504,6.937040002149508e-05,0.45599233856256843
143,0.01349354870481631,0.014301430143014302,5.4255736877610886e-05,0.424135737009544
89,0.04341164453524004,0.0089008900890089,4.7745866213243214e-05,0.45890128046261874
567,0.01659593296813556,0.05670567056705671,0.0007319401601287724,0.5027149321266968
126,0.012571428571428572,0.012601260126012601,4.343302134798381e-05,0.4104848310685989
339,0.019636592134890298,0.033903390339033904,0.00036216584999266296,0.4867351409239157
214,0.024965995349041287,0.0214021402140214,0.00012720509719810463,0.46974537254533494
352,0.013176638176638177,0.0352035203520352,0.0003031176141106262,0.48005185078496326
166,0.018765972982840454,0.0166016601660166,7.878386410393896e-05,0.4441236563915786
2048,0.01580628663898388,0.20482048204820483,0.011491937844934911,0.5568612163065271
60,0.010734463276836158,0.006000600060006001,6.982797938891589e-06,0.38930851892228624
62,0.020624008461131677,0.006200620062006201,9.848588743589455e-06,0.40404897563341013
180,0.01638733705772812,0.018001800180018002,9.074237261387765e-05,0.4531200435038746
313,0.01267715245351028,0.0313031303130313,0.000269630158997883,0.4751247327156094
173,0.013442667025137788,0.017301730173017303,0.00010556509186351419,0.43576222435282835
67,0.033921302578018994,0.006700670067006701,2.0269009070438508e-05,0.430545986910093
751,0.02712827341322681,0.07510751075107511,0.0015858231266371672,0.5177877893428616
52,0.0784313725490196,0.005200520052005201,1.1830789451716466e-05,0.4457471469329529
595,0.019726678550207963,0.05950595059505951,0.0009730120641446313,0.5089326614750344
50,0.08,0.005000500050005001,7.986040435112841e-06,0.4328571428571429
338,0.022509788773198952,0.0338033803380338,0.00030435495587264255,0.4894273127753304
